K0001
	N2030	དཀོན་མཆོག་གསུམ་ལ་བཀྲ་ཤིས་ཀྱི་བསྟོད་པ	bstod tshogs, ka 111b7-112a6. (ff.111v-112r (pp.222-223）)	dkon mchog gsum la bkra shis kyi bstod pa
	Q2030	དཀོན་མཆོག་གསུམ་ལ་བཀྲ་ཤིས་ཀྱི་བསྟོད་པ	bstod tshogs, ka 118a2-118b1 (vol.46, p.49)	dkon mchog gsum la bkra shis kyi bstod pa

K0031
	D1140	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་མཚན་ལ་བསྟོད་པ	bstod tshogs, ka 101a5-102a3.	yang dag par rdzogs pa'i sangs rgyas kyi mtshan la bstod pa
	G31	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་མཚན་ལ་བསྟོད་པ་	bstod tshogs, ka 145a1-146a (p.72-4-1)	yang dag par rdzogs pa'i sangs rgyas kyi mtshan la bstod pa 
	N2031	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་མཚན་ལ་བསྟོད་པ	bstod tshogs, ka 112a6-113a4. (ff.112r-113r (pp.223-225))	yang dag par rdzogs pa'i sangs rgyas kyi mtshan la bstod pa
	Q2031	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་མཚན་ལ་བསྟོད་པ	bstod tshogs, ka 118b1-119a8 (vol.46, p.49)	yang dag par rdzogs pa'i sangs rgyas kyi mtshan la bstod pa

K0032
	D1141	གཅིག་ལས་འཕྲོས་པའི་བསྟོད་པ	bstod tshogs, ka 102a3-102b3.	gcig las 'phros pa'i bstod pa
	G32	གཅིག་ལས་འཕྲོས་པའི་བསྟོད་པ་	bstod tshogs, ka 146a1-146b (p.74-1-1)	gcig las 'phros pa'i bstod pa 
	N2032	གཅིག་ལས་འཕྲོས་པའི་བསྟོད་པ	bstod tshogs, ka 113a4-113b6. (ff.113r-113v (pp.225-226))	gcig las 'phros pa'i bstod pa
	Q2032	གཅིག་ལས་འཕྲོས་པའི་བསྟོད་པ	bstod tshogs, ka 119b1-120a4 (vol.46, p.50)	gcig las 'phros pa'i bstod pa

K0033
